 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.241,1.142,1.204,1.369,0.932,1.145,0.973,1.066,1.05,1.01,0.998,1.205,1.225,1.14,0.978,1.364,1.564,1.277,0.888,1.855,1.035,1.002,1.037,1.008,3.401,3.401,,,,
correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct,,,,
UP, LEFT, DOWN, RIGHT, LEFT, DOWN, LEFT, RIGHT, UP, DOWN, RIGHT, UP, RIGHT, UP, LEFT, UP, DOWN, RIGHT, LEFT, RIGHT, LEFT, DOWN, LEFT, DOWN, UP, UP,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.229,1.737,1.424,2.113,1.31,1.629,1.225,1.111,0.98,0.896,1.432,1.729,1.053,1.412,0.951,1.551,3.774,1.103,0.912,1.342,1.074,1.074,,,,,,,,
correct, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, incorrect, correct, incorrect, correct, correct, correct,,,,,,,,
LEFT, RIGHT, UP, RIGHT, DOWN, RIGHT, DOWN, UP, LEFT, UP, DOWN, UP, LEFT, DOWN, RIGHT, LEFT, RIGHT, LEFT, UP, RIGHT, UP, UP,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.381,1.438,1.435,1.24,1.203,1.38,1.4,1.032,0.977,1.106,1.075,1.013,1.034,1.173,0.999,1.801,1.038,1.11,1.107,1.011,1.229,1.119,1.068,1.449,1.449,,,,,
correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, correct, correct, correct, correct,,,,,
UP, DOWN, UP, RIGHT, DOWN, UP, RIGHT, DOWN, LEFT, UP, DOWN, LEFT, UP, RIGHT, UP, DOWN, UP, LEFT, RIGHT, LEFT, RIGHT, LEFT, UP, RIGHT, RIGHT,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.196,1.124,1.411,1.55,1.382,0.998,1.05,1.684,1.44,1.156,1.06,1.023,0.97,1.092,1.271,1.444,1.307,1.296,0.943,1.234,1.293,1.216,0.974,1.108,0.848,0.848,,,,
incorrect, correct, correct, correct, correct, correct, incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct,,,,
UP, LEFT, UP, RIGHT, UP, LEFT, DOWN, UP, RIGHT, UP, LEFT, RIGHT, LEFT, RIGHT, LEFT, RIGHT, DOWN, UP, LEFT, DOWN, RIGHT, DOWN, LEFT, RIGHT, LEFT, LEFT,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.76,0,0,1.353,1.291,1.75,1.197,1.314,1.097,1.431,1.355,1.157,1.102,3.18,1.177,0.061,1.672,1.234,1.316,2.053,1.496,1.431,3.859,3.859,,,,,,
incorrect, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, correct, incorrect, correct, correct, correct, incorrect, incorrect, correct, incorrect, correct,,,,,,
RIGHT, DOWN, RIGHT, LEFT, DOWN, UP, RIGHT, UP, LEFT, UP, RIGHT, DOWN, LEFT, UP, LEFT, UP, RIGHT, LEFT, DOWN, UP, RIGHT, LEFT, UP, UP,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.306,1.219,1.035,1.161,1.094,1.081,1.224,1.357,1.128,1.132,1.124,1.089,1.084,1.514,1.188,1.444,1.096,1.371,1.123,1.251,1.393,1.093,0.001,1.23,1.656,1.656,,,,
correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, correct, incorrect, incorrect, correct, correct,,,,
RIGHT, LEFT, UP, RIGHT, DOWN, UP, LEFT, RIGHT, DOWN, UP, DOWN, RIGHT, UP, DOWN, LEFT, DOWN, LEFT, DOWN, LEFT, UP, LEFT, UP, RIGHT, UP, DOWN, DOWN,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.232,1.581,2.023,1.501,1.28,1.341,1.968,1.112,0,1.144,0,2.753,2.567,1.412,1.113,1.259,1.072,2.164,2.164,,,,,,,,,,,
incorrect, correct, incorrect, correct, correct, correct, correct, correct, incorrect, correct, incorrect, incorrect, incorrect, correct, correct, correct, correct, incorrect, correct,,,,,,,,,,,
RIGHT, UP, RIGHT, UP, LEFT, UP, RIGHT, UP, RIGHT, UP, DOWN, LEFT, UP, DOWN, UP, LEFT, RIGHT, LEFT, LEFT,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
